sample_index,hardware_time,dt_hw,read_time,dt_read,batch_time,dt_batch,Fx,Fy,Fz,Tx,Ty,Tz
119,0.238000000,0.002000000,0.240112544,0.002128886,0.240110347,0.002128926,-0.007565419,0.014531264,-0.009440882,0.000046437,0.000000388,0.000261712
120,0.240000000,0.002000000,0.241221460,0.001108916,0.241219525,0.001109178,0.002321881,-0.000814141,0.013433652,0.000044525,0.000121571,-0.000049472
121,0.242000000,0.002000000,0.243353751,0.002132291,0.243351661,0.002132136,0.004387929,-0.002015260,0.003283985,-0.000049213,-0.000045678,0.000060722
122,0.244000000,0.002000000,0.245483779,0.002130028,0.245481707,0.002130046,0.002270570,-0.007637566,0.003270177,-0.000099817,0.000206434,-0.000049472
123,0.246000000,0.002000000,0.247614950,0.002131171,0.247612838,0.002131131,0.006366433,0.001497109,0.006612689,0.000044426,0.000063180,-0.000021096
124,0.248000000,0.002000000,0.249750250,0.002135300,0.249748178,0.002135340,-0.007690449,-0.004065866,-0.002971962,-0.000143537,0.000066357,0.000201581
125,0.250000000,0.002000000,0.251898556,0.002148306,0.251896388,0.002148210,-0.003632547,0.005010339,0.010488880,0.000001606,-0.000074868,0.000229070
126,0.252000000,0.002000000,0.254023978,0.002125422,0.254022019,0.002125631,-0.001650645,-0.003198873,0.013576496,-0.000047651,-0.000042245,0.000087529
127,0.254000000,0.002000000,0.255115730,0.001091752,0.255113718,0.001091699,0.006362056,0.001584206,0.000100884,0.000099009,-0.000079656,0.000313753
128,0.256000000,0.002000000,0.257246222,0.002130492,0.257244127,0.002130409,0.002428629,-0.005544315,-0.000166876,-0.000098470,-0.000070879,-0.000024123
129,0.258000000,0.002000000,0.259374481,0.002128259,0.259372414,0.002128287,0.000325450,-0.013505749,-0.000149783,-0.000001502,0.000096379,0.000004731
130,0.260000000,0.002000000,0.261505551,0.002131070,0.261503432,0.002131018,0.000308220,-0.006512253,0.003455580,0.000001206,0.000037867,0.000172931
131,0.262000000,0.002000000,0.263634312,0.002128761,0.263632272,0.002128840,-0.009490139,0.008581579,-0.009619819,0.000093667,-0.000079292,0.000147888
132,0.264000000,0.002000000,0.265773520,0.002139208,0.265772530,0.002140258,0.000292598,0.000576392,-0.003179653,-0.000194806,0.000147301,0.000091431
133,0.266000000,0.002000000,0.267908320,0.002134800,0.267906193,0.002133663,-0.011524599,-0.001971665,-0.003042618,-0.000049660,-0.000098808,0.000060461
134,0.268000000,0.002000000,0.270030301,0.002121981,0.270028186,0.002121993,-0.007741069,-0.015599707,-0.013301729,-0.000481946,0.000156496,0.000060028
135,0.270000000,0.002000000,0.271124793,0.001094492,0.271122832,0.001094646,-0.005560654,0.003914086,-0.006428192,-0.000146641,-0.000046831,0.000090157
136,0.272000000,0.002000000,0.273258071,0.002133278,0.273255934,0.002133102,0.000292265,-0.008714682,-0.003315943,0.000095909,0.000146681,0.000146852
137,0.274000000,0.002000000,0.275387907,0.002129836,0.275385835,0.002129901,0.002442905,-0.002999552,-0.016828877,0.000047353,-0.000051095,0.000174567
138,0.276000000,0.002000000,0.277540131,0.002152224,0.277538031,0.002152196,0.000318944,-0.001801114,-0.003209347,-0.000144898,0.000064379,0.000146147
139,0.278000000,0.002000000,0.279691506,0.002151375,0.279689538,0.002151507,-0.003638343,-0.003955474,-0.023304238,-0.000241361,0.000062615,0.000203001
140,0.280000000,0.002000000,0.281836919,0.002145413,0.281833814,0.002144276,0.004513364,-0.004539573,0.003011052,0.000091948,-0.000127392,-0.000135968
141,0.282000000,0.002000000,0.283978760,0.002141841,0.283976549,0.002142735,0.008309588,-0.008637273,-0.020320060,-0.000095744,0.000088037,0.000230887
142,0.284000000,0.002000000,0.286098702,0.002119942,0.286096678,0.002120129,0.000377278,-0.008904872,-0.003436059,-0.000096933,-0.000015562,0.000060107
143,0.286000000,0.002000000,0.287192576,0.001093874,0.287190622,0.001093944,0.002503212,-0.003126500,-0.013572383,0.000142408,-0.000105889,0.000090064
144,0.288000000,0.002000000,0.289323150,0.002130574,0.289321099,0.002130477,-0.003615439,-0.015707128,-0.013489412,0.000240604,0.000063612,0.000145986
145,0.290000000,0.002000000,0.291450946,0.002127796,0.291448864,0.002127765,0.004409045,-0.001884057,-0.010182161,-0.000050707,0.000006725,0.000062575
146,0.292000000,0.002000000,0.293580586,0.002129640,0.293578511,0.002129647,0.002355667,0.003924285,0.003436381,0.000043965,0.000117346,0.000008236
147,0.294000000,0.002000000,0.295708116,0.002127530,0.295706129,0.002127618,0.006406970,-0.010087674,-0.010365327,-0.000096467,-0.000073114,0.000087856
148,0.296000000,0.002000000,0.297861661,0.002153545,0.297859548,0.002153419,0.002286365,0.011001606,0.007086867,-0.000001801,0.000142070,0.000177244
149,0.298000000,0.002000000,0.299985447,0.002123786,0.299983428,0.002123880,0.002280916,-0.005097548,-0.010029611,0.000190252,0.000252726,0.000149855
150,0.300000000,0.002000000,0.302107612,0.002122165,0.302105510,0.002122082,-0.005536186,-0.000622467,-0.013352532,0.000282065,0.000142513,-0.000045866
151,0.302000000,0.002000000,0.303205142,0.001097530,0.303203168,0.001097658,0.008265427,0.005153112,0.006807055,-0.000001371,0.000143174,0.000148252
152,0.304000000,0.002000000,0.305335150,0.002130008,0.305333256,0.002130088,-0.003805432,0.002846678,0.020559893,-0.000098706,0.000261622,0.000035534
153,0.306000000,0.002000000,0.307462728,0.002127578,0.307460818,0.002127562,-0.001508399,-0.005544114,-0.006826412,-0.000098810,-0.000126506,-0.000024249
154,0.308000000,0.002000000,0.309590517,0.002127789,0.309588582,0.002127764,-0.007622293,0.002684825,0.010539328,0.000001400,-0.000072937,0.000200615
155,0.310000000,0.002000000,0.311718167,0.002127650,0.311716330,0.002127748,-0.001655255,-0.005361352,0.000125779,-0.000047712,0.000010471,0.000144907
156,0.312000000,0.002000000,0.313865148,0.002146981,0.313863157,0.002146827,0.008285024,-0.009050741,0.016578645,-0.000095064,-0.000013170,0.000058424
157,0.314000000,0.002000000,0.315984385,0.002119237,0.315982485,0.002119328,0.010384368,0.003789840,0.003230862,-0.000049536,-0.000049280,0.000089848
158,0.316000000,0.002000000,0.318100864,0.002116479,0.318098925,0.002116440,-0.005548431,0.008547022,0.000448128,0.000192267,-0.000080029,0.000231379
159,0.318000000,0.002000000,0.319194788,0.001093924,0.319192927,0.001094002,0.004343672,0.005131881,0.003387575,0.000186918,0.000197714,-0.000017899
160,0.320000000,0.002000000,0.321323985,0.002129197,0.321322096,0.002129169,-0.003410906,0.011838251,-0.003235955,0.000137143,-0.000106215,-0.000103927
161,0.322000000,0.002000000,0.323451485,0.002127500,0.323449521,0.002127425,-0.005470561,0.010717652,0.000235550,-0.000006100,-0.000075691,-0.000076745
162,0.324000000,0.002000000,0.325579604,0.002128119,0.325577677,0.002128156,0.008527769,0.004776523,0.006366886,0.000377353,-0.000023596,-0.000187908
163,0.326000000,0.002000000,0.327708627,0.002129023,0.327706538,0.002128861,-0.003437733,0.016252629,0.020439820,0.000092287,-0.000240874,-0.000051052
164,0.328000000,0.002000000,0.329884989,0.002176362,0.329882674,0.002176136,0.006512739,0.003788700,-0.010367543,0.000040187,0.000005165,-0.000159749
165,0.330000000,0.002000000,0.332003313,0.002118324,0.332001223,0.002118549,0.004578752,0.002393363,-0.000230058,0.000092748,-0.000241578,-0.000051783
166,0.332000000,0.002000000,0.334125002,0.002121689,0.334122970,0.002121747,0.000329798,0.007542111,-0.003089385,-0.000099837,0.000143645,0.000093126
167,0.334000000,0.002000000,0.335222282,0.001097280,0.335220277,0.001097307,0.000383651,0.002907961,-0.009981924,0.000139233,0.000169175,0.000038227
168,0.336000000,0.002000000,0.337351971,0.002129689,0.337349844,0.002129567,0.002423762,0.003846056,0.000120475,0.000095937,-0.000078351,0.000174250
169,0.338000000,0.002000000,0.339479171,0.002127200,0.339477306,0.002127462,0.000381801,0.009655121,0.006907798,-0.000149563,0.000064058,-0.000048425
170,0.340000000,0.002000000,0.341607035,0.002127864,0.341605045,0.002127739,0.002361108,-0.003017320,-0.003363806,0.000046358,0.000062610,0.000090793
171,0.342000000,0.002000000,0.343735383,0.002128348,0.343733444,0.002128399,-0.001431939,-0.001033380,-0.000055811,0.000190907,-0.000241007,0.000031833
172,0.344000000,0.002000000,0.345899893,0.002164510,0.345897626,0.002164182,0.008255490,0.000615450,-0.003387211,-0.000051083,0.000226577,0.000093125
173,0.346000000,0.002000000,0.348015965,0.002116072,0.348013960,0.002116334,0.000501968,0.009493067,0.003546769,-0.000049117,-0.000214874,0.000116781
174,0.348000000,0.002000000,0.350138684,0.002122719,0.350136684,0.002122724,0.004411113,0.009976645,-0.023391856,-0.000005366,0.000136510,0.000123753
175,0.350000000,0.002000000,0.351236257,0.001097573,0.351234224,0.001097540,0.000445373,-0.008983101,-0.006751965,-0.000044962,-0.000211259,0.000226121
176,0.352000000,0.002000000,0.353365440,0.002129183,0.353363473,0.002129249,0.000440028,0.002842396,-0.016644680,-0.000049104,-0.000051884,0.000203205
