time,Fx,Fy,Fz,Tx,Ty,Tz
0.532000,-0.002707,0.008571,0.003771,0.000097,-0.000117,0.000188
0.534000,0.001389,-0.000491,-0.033649,0.000188,-0.000012,0.000079
0.536000,0.007284,-0.002045,0.006607,0.000097,-0.000169,0.000101
0.538000,0.001167,-0.002925,0.000161,-0.000144,0.000026,0.000131
0.540000,-0.010663,0.011201,-0.022971,-0.000054,0.000074,0.000053
0.542000,0.005306,0.004197,-0.026853,0.000093,0.000042,0.000136
0.544000,-0.006787,-0.000650,0.007031,0.000046,0.000083,-0.000008
0.546000,0.005186,0.008567,0.013712,0.000049,-0.000034,0.000188
0.548000,0.001195,-0.005246,-0.003339,-0.000050,0.000082,0.000020
0.550000,-0.000734,-0.004028,-0.016680,-0.000048,-0.000033,0.000160
0.552000,-0.000523,0.002773,-0.026981,0.000090,-0.000119,-0.000090
0.554000,-0.000738,0.012364,-0.016425,0.000043,0.000126,0.000109
0.556000,0.009368,-0.000749,-0.020464,-0.000148,-0.000144,-0.000009
0.558000,-0.000577,0.014514,-0.023332,0.000089,-0.000013,-0.000031
0.560000,-0.000710,0.005038,0.003602,-0.000000,-0.000115,0.000103
0.562000,0.003161,0.000394,0.013671,-0.000189,-0.000111,0.000213
0.564000,-0.004848,0.003199,-0.012981,0.000046,0.000241,0.000165
0.566000,0.001363,0.001623,-0.016804,-0.000099,-0.000116,0.000020
0.568000,0.009193,-0.002943,-0.003516,0.000046,0.000078,0.000049
0.570000,0.005376,0.001488,-0.006903,0.000092,-0.000116,-0.000064
0.572000,0.001262,0.001569,0.006809,0.000190,-0.000004,0.000020
0.574000,-0.006662,-0.014887,0.006624,0.000096,-0.000160,-0.000097
0.576000,0.005182,-0.007345,-0.023519,-0.000047,0.000075,0.000245
0.578000,-0.000771,0.007626,-0.006427,0.000044,0.000130,0.000052
0.580000,0.001208,-0.000639,0.000130,-0.000049,0.000025,0.000076
0.582000,0.001284,0.003911,0.000130,-0.000002,-0.000060,0.000048
0.584000,-0.004756,-0.008761,-0.006679,-0.000099,0.000057,-0.000065
0.586000,0.003120,0.002926,0.010290,0.000143,0.000188,0.000078
0.588000,0.001280,0.001471,0.006750,-0.000147,-0.000082,-0.000066
0.590000,0.001328,-0.012368,-0.013714,-0.000051,-0.000083,-0.000066
0.592000,-0.004742,0.002888,-0.003090,0.000044,0.000079,-0.000006
0.594000,-0.004599,0.012031,-0.006391,0.000092,-0.000119,0.000022
0.596000,0.005287,0.006371,-0.009917,0.000193,-0.000068,0.000246
0.598000,-0.000621,-0.006713,-0.003441,0.000049,-0.000250,0.000044
0.600000,-0.002745,-0.003041,0.000151,-0.000097,-0.000055,0.000046
0.602000,0.003276,0.007533,-0.009946,-0.000052,0.000020,0.000050
